product_name,image_url,price,page
Olympic Bar 183cm,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1168202_1168202-8s_001.jpg",R 1999.90,3
HS Fitness 15kg 30mm Grip Plate,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1163051_1163051-1_001.jpg",R 699.90,3
HS Fitness 20kg 30mm Grip Plate,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1163052_1163052-1_001.jpg",R 899.90,3
HS Fitness 2.5kg 30mm Grip Plate,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1163047_1163047-1_001.jpg",R 129.90,3
HS Fitness 5kg 30mm Grip Plate,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1163048_1163048-1_001.jpg",R 249.90,3
HS Fitness 7.5kg 30mm Plate Plate,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1163049_1163049-1_001.jpg",R 379.90,3
HS Fitness 10kg 30mm Grip Plate,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1163050_1163050-1_001.jpg",R 499.90,3
HS Fitness Body Gym,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1147820_1147820-1_001.jpg",R 499.90,3
OTG 1KG Dipping Dumbbell,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1146175_1146175-911_001.jpg",R 49.90,3
OTG 2KG Dipping Dumbbell,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1146176_1146176-157_001.jpg",R 99.90,3
OTG 3KG Dipping Dumbbell,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1146177_1146177-A1_001.jpg",R 149.90,3
OTG 4KG Dipping Dumbbell,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1146178_1146178-98_001.jpg",R 199.90,3
OTG 5KG Dipping Dumbbell,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1146179_1146179-87df_001.jpg",R 249.90,3
HS Fitness 50kg Barbell Set,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1143285_1143285-1_001.jpg",R 2499.90,3
HS Fitness 1kg 30mm Plate,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1143286_1143286-1_001.jpg",R 49.90,3
Chrome Spinlock Bar 218cm,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1142420_1142420-8s_001.jpg",R 749.90,3
HS Fitness Push-Up Twister,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1140389_1140389-1_001.jpg",R 499.90,3
HS Fitness V-Grip Handle,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1133193_1133193-212_001.jpg",R 499.90,3
HS Fitness Straight Bar,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1133194_1133194-212_001.jpg",R 499.90,3
HS Fitness V-Grip Bar,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1133195_1133195-212_001.jpg",R 499.90,3
GF Ankle Strap,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1126636_1126636-1_001.jpg",R 69.90,3
Olympic Deadlift Hex Bar,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1119524_1119524-NC0_001.jpg",R 2999.90,3
EZ Olympic Curl Bar 120cm,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1099723_1099723-NC0_001.jpg",R 999.90,3
Olympic Bar 218cm,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1075754_1075754-8s_001.jpg",R 2499.90,3
HS Fitness 28mm Spring Collar Set,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1072885_1072885-8s_001.jpg",R 79.90,3
Chrome Spinlock Bar 200cm,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1065818_1065818-NC0_001.jpg",R 699.90,3
EZ Spinlock Curling Bar 120cm,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1061905_1061905-NC0_001.jpg",R 499.90,3
Spinlock Bar 35cm,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1061906_1061906-NC0_001.jpg",R 249.90,4
Spinlock Tricep Bar 86cm,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1061907_1061907-NC0_001.jpg",R 799.90,4
Chrome Spinlock Bar 152cm,"https://res.cloudinary.com/moresport/image/upload/a_0,c_fill,f_auto,h_350,q_auto:good,w_350/v1575961299/assets/1061908_1061908-NC0_001.jpg",R 499.90,4
